language,iran_count,ukraine_count,total
English,133,738,871
Turkish,97,192,289
Russian,57,201,258
Chinese,56,132,188
French,105,72,177
Spanish,103,56,159
German,102,29,131
Arabic,99,25,124
Portuguese,85,36,121
Ukrainian,0,116,116
Korean,51,64,115
Italian,98,6,104
Persian,82,0,82
Polish,0,79,79
Hindi,78,0,78
Japanese,50,19,69
Indonesian,50,16,66
Romanian,1,49,50
Serbian,0,34,34
Croatian,2,29,31
Lithuanian,1,27,28
Bosnian,0,23,23
Slovak,1,20,21
Bulgarian,2,19,21
Greek,0,21,21
Norwegian,2,14,16
Hebrew,0,15,15
Albanian,2,11,13
Dutch,8,3,11
Czech,2,8,10
Bengali,0,10,10
Latvian,0,9,9
Thai,0,6,6
Slovenian,0,3,3
Macedonian,0,3,3
Catalan,0,3,3
Urdu,0,2,2
Armenian,0,1,1
Estonian,0,1,1
Gujarati,0,1,1
Danish,0,1,1
Swedish,0,1,1
Hungarian,0,1,1
