language,n,avg_sim
English,106,0.715
Turkish,28,0.755
Russian,22,0.709
Chinese,19,0.719
Ukrainian,18,0.722
Polish,12,0.761
French,11,0.741
Korean,10,0.746
Spanish,8,0.726
Romanian,7,0.736
Portuguese,6,0.703
Serbian,5,0.766
Croatian,4,0.74
Arabic,4,0.767
German,4,0.682
Lithuanian,4,0.804
Bosnian,3,0.751
Greek,3,0.708
Bulgarian,3,0.684
Japanese,3,0.765
Slovak,3,0.722
Indonesian,3,0.799
Hebrew,2,0.762
Norwegian,2,0.7
Albanian,2,0.774
Latvian,1,0.739
Czech,1,0.771
Thai,1,0.727
Italian,1,0.644
Bengali,1,0.728
Macedonian,1,0.781
Slovenian,1,0.694
Dutch,1,0.76
Catalan,1,0.765
Urdu,1,0.761
Danish,1,0.887
Estonian,1,0.805
Hungarian,1,0.653
Swedish,1,0.84
Armenian,1,0.793
